id,path,text_name,extension,size,folder,num_files,depth,parent,uid
85,Google_20221008/Google 购物/Loyalty,Loyalty,,45,1,1,2,78,501
86,Google_20221008/Google 购物/Loyalty/Loyalty.txt,Loyalty,txt,45,0,,2,85,501
87,Google_20221008/Google 购物/Addresses,Addresses,,32,1,1,2,78,501
88,Google_20221008/Google 购物/Addresses/Addresses.txt,Addresses,txt,32,0,,2,87,501
89,Google_20221008/Google 购物/Product Reviews,Product Reviews,,30,1,1,2,78,501
90,Google_20221008/Google 购物/Product Reviews/Product Reviews.txt,Product Reviews,txt,30,0,,2,89,501
91,Google_20221008/Google 购物/Orders,Orders,,0,1,1,2,78,501
92,Google_20221008/Google 购物/Orders/Orders.txt,Orders,txt,0,0,,2,91,501
93,Google_20221008/Google 购物/Person Collecting,Person Collecting,,32,1,1,2,78,501
94,Google_20221008/Google 购物/Person Collecting/Person Collecting.txt,Person Collecting,txt,32,0,,2,93,501
95,Google_20221008/归档_一览.html,归档_一览,html,752800,0,,0,1,501
96,Google_20221008/YouTube 和 YouTube Music,YouTube 和 YouTube Music,,2793072,1,15,1,1,501
97,Google_20221008/YouTube 和 YouTube Music/我的评论,我的评论,,472,1,1,2,96,501
98,Google_20221008/YouTube 和 YouTube Music/我的评论/我的评论.html,我的评论,html,472,0,,2,97,501
